id,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,horsepower,peak-rpm,city-mpg,highway-mpg,price
44,isuzu,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,70.0,5400.0,38,43,0.0
45,isuzu,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52.0,1909,ohc,4,90,2bbl,70.0,5400.0,38,43,0.0
46,isuzu,gas,std,2,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,4,119,spfi,90.0,5000.0,24,29,11048.0
47,jaguar,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,176.0,4750.0,15,19,32250.0
48,jaguar,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,176.0,4750.0,15,19,35550.0
49,jaguar,gas,std,2,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,262.0,5000.0,13,17,36000.0
50,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,68.0,5000.0,30,31,5195.0
51,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,68.0,5000.0,31,38,6095.0
52,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,68.0,5000.0,31,38,6795.0
53,mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,68.0,5000.0,31,38,6695.0
54,mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,68.0,5000.0,31,38,7395.0
55,mazda,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,101.0,6000.0,17,23,10945.0
56,mazda,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,101.0,6000.0,17,23,11845.0
57,mazda,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,2,70,4bbl,101.0,6000.0,17,23,13645.0
58,mazda,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,2,80,mpfi,135.0,6000.0,16,23,15645.0
59,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,84.0,4800.0,26,32,8845.0
60,mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,84.0,4800.0,26,32,8495.0
61,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,84.0,4800.0,26,32,10595.0
62,mazda,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,84.0,4800.0,26,32,10245.0
63,mazda,diesel,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,64.0,4650.0,36,42,10795.0
64,mazda,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,84.0,4800.0,26,32,11245.0
65,mazda,gas,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,120.0,5000.0,19,27,18280.0
66,mazda,diesel,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,72.0,4200.0,31,39,18344.0
67,mercedes-benz,diesel,turbo,4,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,123.0,4350.0,22,25,25552.0
68,mercedes-benz,diesel,turbo,4,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,123.0,4350.0,22,25,28248.0
69,mercedes-benz,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,123.0,4350.0,22,25,28176.0
70,mercedes-benz,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,123.0,4350.0,22,25,31600.0
71,mercedes-benz,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,155.0,4750.0,16,18,34184.0
72,mercedes-benz,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,155.0,4750.0,16,18,35056.0
73,mercedes-benz,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,184.0,4500.0,14,16,40960.0
74,mercedes-benz,gas,std,2,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,184.0,4500.0,14,16,45400.0
75,mercury,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,4,140,mpfi,175.0,5000.0,19,24,16503.0
76,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,68.0,5500.0,37,41,5389.0
77,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,68.0,5500.0,31,38,6189.0
78,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,68.0,5500.0,31,38,6669.0
79,mitsubishi,gas,turbo,2,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,4,98,spdi,102.0,5500.0,24,30,7689.0
80,mitsubishi,gas,turbo,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,4,110,spdi,116.0,5500.0,23,30,9959.0
81,mitsubishi,gas,std,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,4,122,2bbl,88.0,5000.0,25,32,8499.0
82,mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,145.0,5000.0,19,24,12629.0
83,mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,145.0,5000.0,19,24,14869.0
84,mitsubishi,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,145.0,5000.0,19,24,14489.0
85,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,88.0,5000.0,25,32,6989.0
86,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,88.0,5000.0,25,32,8189.0
87,mitsubishi,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,116.0,5500.0,23,30,9279.0
88,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,116.0,5500.0,23,30,9279.0
89,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,69.0,5200.0,31,37,5499.0
90,nissan,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,55.0,4800.0,45,50,7099.0
91,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,69.0,5200.0,31,37,6649.0
92,nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,69.0,5200.0,31,37,6849.0
93,nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,69.0,5200.0,31,37,7349.0
94,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,69.0,5200.0,31,37,7299.0
95,nissan,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,69.0,5200.0,31,37,7799.0
96,nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,69.0,5200.0,31,37,7499.0
97,nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,69.0,5200.0,31,37,7999.0
98,nissan,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,69.0,5200.0,31,37,8249.0
99,nissan,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,97.0,5200.0,27,34,8949.0
100,nissan,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,97.0,5200.0,27,34,9549.0
101,nissan,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,152.0,5200.0,17,22,13499.0
102,nissan,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,152.0,5200.0,17,22,14399.0
103,nissan,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,152.0,5200.0,19,25,13499.0
104,nissan,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,160.0,5200.0,19,25,17199.0
105,nissan,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,200.0,5200.0,17,23,19699.0
106,nissan,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,160.0,5200.0,19,25,18399.0
107,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,97.0,5000.0,19,24,11900.0
108,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,95.0,4150.0,28,33,13200.0
109,peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,97.0,5000.0,19,24,12440.0
110,peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,95.0,4150.0,25,25,13860.0
111,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,95.0,5000.0,19,24,15580.0
112,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,95.0,4150.0,28,33,16900.0
113,peugot,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,95.0,5000.0,19,24,16695.0
114,peugot,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,95.0,4150.0,25,25,17075.0
115,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,97.0,5000.0,19,24,16630.0
116,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,95.0,4150.0,28,33,17950.0
117,peugot,gas,turbo,4,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,4,134,mpfi,142.0,5600.0,18,24,18150.0
118,plymouth,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,68.0,5500.0,37,41,5572.0
119,plymouth,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,102.0,5500.0,24,30,7957.0
120,plymouth,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,68.0,5500.0,31,38,6229.0
121,plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,68.0,5500.0,31,38,6692.0
122,plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,68.0,5500.0,31,38,7609.0
123,plymouth,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,88.0,5000.0,24,30,8921.0
124,plymouth,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,145.0,5000.0,19,24,12764.0
125,porsche,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,143.0,5500.0,19,27,22018.0
126,porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,207.0,5900.0,17,25,32528.0
127,porsche,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,207.0,5900.0,17,25,34028.0
128,porsche,gas,std,2,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,6,194,mpfi,207.0,5900.0,17,25,37028.0
129,porsche,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,288.0,5750.0,17,28,0.0
130,renault,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,0.0,0.0,23,31,9295.0
131,renault,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,0.0,0.0,23,31,9895.0
132,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,110.0,5250.0,21,28,11850.0
133,saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,110.0,5250.0,21,28,12170.0
134,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,110.0,5250.0,21,28,15040.0
135,saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,110.0,5250.0,21,28,15510.0
136,saab,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,160.0,5500.0,19,26,18150.0
137,saab,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,160.0,5500.0,19,26,18620.0
138,subaru,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,69.0,4900.0,31,36,5118.0
139,subaru,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,73.0,4400.0,26,31,7053.0
140,subaru,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,73.0,4400.0,26,31,7603.0
141,subaru,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,4,108,2bbl,82.0,4800.0,32,37,7126.0
142,subaru,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,4,108,2bbl,82.0,4400.0,28,33,7775.0
143,subaru,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,4,108,mpfi,94.0,5200.0,26,32,9960.0
144,subaru,gas,std,4,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,4,108,2bbl,82.0,4800.0,24,25,9233.0
145,subaru,gas,turbo,4,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,4,108,mpfi,111.0,4800.0,24,29,11259.0
146,subaru,gas,std,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,4,108,2bbl,82.0,4800.0,28,32,7463.0
147,subaru,gas,std,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,4,108,mpfi,94.0,5200.0,25,31,10198.0
148,subaru,gas,std,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,82.0,4800.0,23,29,8013.0
149,subaru,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,111.0,4800.0,23,23,11694.0
150,toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,62.0,4800.0,35,39,5348.0
151,toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,62.0,4800.0,31,38,6338.0
152,toyota,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,62.0,4800.0,31,38,6488.0
153,toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,62.0,4800.0,31,37,6918.0
154,toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,62.0,4800.0,27,32,7898.0
155,toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,4,92,2bbl,62.0,4800.0,27,32,8778.0
156,toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,4,98,2bbl,70.0,4800.0,30,37,6938.0
157,toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,70.0,4800.0,30,37,7198.0
158,toyota,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,4,110,idi,56.0,4500.0,34,36,7898.0
159,toyota,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,56.0,4500.0,38,47,7788.0
160,toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,4,98,2bbl,70.0,4800.0,38,47,7738.0
161,toyota,gas,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,70.0,4800.0,28,34,8358.0
162,toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,70.0,4800.0,28,34,9258.0
163,toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,2169,ohc,4,98,2bbl,70.0,4800.0,29,34,8058.0
164,toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,2204,ohc,4,98,2bbl,70.0,4800.0,29,34,8238.0
165,toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,2265,dohc,4,98,mpfi,112.0,6600.0,26,29,9298.0
166,toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64.0,52.6,2300,dohc,4,98,mpfi,112.0,6600.0,26,29,9538.0
167,toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2540,ohc,4,146,mpfi,116.0,4800.0,24,30,8449.0
168,toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2536,ohc,4,146,mpfi,116.0,4800.0,24,30,9639.0
169,toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2551,ohc,4,146,mpfi,116.0,4800.0,24,30,9989.0
170,toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,2679,ohc,4,146,mpfi,116.0,4800.0,24,30,11199.0
171,toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,2714,ohc,4,146,mpfi,116.0,4800.0,24,30,11549.0
172,toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,4,146,mpfi,116.0,4800.0,24,30,17669.0
173,toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,92.0,4200.0,29,34,8948.0
174,toyota,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,73.0,4500.0,30,33,10698.0
175,toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,92.0,4200.0,27,32,9988.0
176,toyota,gas,std,4,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,92.0,4200.0,27,32,10898.0
177,toyota,gas,std,4,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,92.0,4200.0,27,32,11248.0
178,toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,6,171,mpfi,161.0,5200.0,20,24,16558.0
179,toyota,gas,std,2,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,6,171,mpfi,161.0,5200.0,19,24,15998.0
180,toyota,gas,std,4,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,156.0,5200.0,20,24,15690.0
181,toyota,gas,std,4,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,156.0,5200.0,19,24,15750.0
182,volkswagen,diesel,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,52.0,4800.0,37,46,7775.0
183,volkswagen,gas,std,2,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,85.0,5250.0,27,34,7975.0
184,volkswagen,diesel,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,52.0,4800.0,37,46,7995.0
185,volkswagen,gas,std,4,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,85.0,5250.0,27,34,8195.0
